model,R2,gamma,gamma_sigma
linear  L = a·B + b,0.7578708874956047,,
quadratic  L = a·B² + b·B + c,0.9649405664707769,,
"power, L0 free",0.9958857370780854,4.010719573102554,0.21018276479645687
"power, L0 = L(0 %)",0.9923257755774418,3.6617683448201657,0.19329970108141034
log-log linearization,,1.8707010924117886,
