label,x,y,muestra,iluminancia_lux,luminancia_cd_m2,iluminancia_prom_lux,luminancia_prom_cd_m2
"(6.8,4.7)",6.775118641554197,4.663043155865342,1,39.5136,83.8301,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,2,43.7184,92.7508,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,3,43.5456,92.3841,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,4,43.6032,92.5064,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,5,43.5456,92.3841,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,6,43.7184,92.7508,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,7,43.7760,92.8730,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,8,43.5456,92.3841,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,9,43.4304,92.1397,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,10,43.7760,92.8730,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,11,43.7760,92.8730,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,12,43.5456,92.3841,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,13,43.6032,92.5064,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,14,43.5456,92.3841,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,15,43.6032,92.5064,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,16,43.8336,92.9952,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,17,43.5456,92.3841,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,18,43.4880,92.2619,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,19,43.6032,92.5064,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,20,43.7184,92.7508,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,21,43.7760,92.8730,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,22,43.4880,92.2619,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,23,43.4304,92.1397,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,24,43.6032,92.5064,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,25,43.8336,92.9952,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,26,43.4304,92.1397,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,27,43.4880,92.2619,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,28,43.5456,92.3841,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,29,43.7760,92.8730,43.6250,92.5526
"(6.8,4.7)",6.775118641554197,4.663043155865342,30,43.8336,92.9952,43.6250,92.5526
