label,x,y,muestra,iluminancia_lux,luminancia_cd_m2,iluminancia_prom_lux,luminancia_prom_cd_m2
"(2.3,4.4)",2.3305094171733565,4.388684561767761,1,21.1392,124.3482,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,2,32.4864,191.0965,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,3,32.5440,191.4353,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,4,32.6016,191.7741,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,5,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,6,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,7,32.4864,191.0965,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,8,32.4864,191.0965,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,9,32.6016,191.7741,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,10,32.2560,189.7412,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,11,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,12,32.4288,190.7576,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,13,32.5440,191.4353,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,14,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,15,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,16,32.4864,191.0965,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,17,32.4864,191.0965,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,18,32.6016,191.7741,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,19,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,20,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,21,32.4288,190.7576,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,22,32.5440,191.4353,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,23,32.4288,190.7576,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,24,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,25,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,26,32.4864,191.0965,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,27,32.5440,191.4353,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,28,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,29,32.3712,190.4188,32.4487,190.8747
"(2.3,4.4)",2.3305094171733565,4.388684561767761,30,32.4864,191.0965,32.4487,190.8747
