brightness_pct,lux_luxmeter,source
0,0.3,led_blue
10,13.8,led_blue
20,26.7,led_blue
30,40.2,led_blue
40,53.2,led_blue
50,66.7,led_blue
60,79.6,led_blue
70,93.2,led_blue
80,106.1,led_blue
90,119.4,led_blue
100,131.0,led_blue
100,129.0,led_blue
90,120.0,led_blue
80,107.2,led_blue
70,94.1,led_blue
60,80.5,led_blue
50,66.9,led_blue
40,53.6,led_blue
30,40.7,led_blue
20,27.0,led_blue
10,13.9,led_blue
0,0.03,led_blue
